Mal_id,Score,Genres,Themes,Demographics
31812,8.25,"['Action','Comedy','Mystery','Supernatural']","['Historical','Mythology']","['Shounen']"
41457,8.24,"['Action','Drama','Sci-Fi']","['Mecha','Military']","[]"
34036,8.24,"['Adventure','Comedy','Mystery']","['Detective']","['Shounen']"
1842,8.24,"['Drama','Sports']","['Team Sports']","['Shounen']"
1735,8.24,"['Action','Adventure','Fantasy']","['Martial Arts']","['Shounen']"
5690,8.24,"['Comedy','Romance']","['Adult Cast','Music']","['Josei']"
38234,8.24,"['Action','Adventure','Fantasy']","[]","['Shounen']"
2966,8.24,"['Adventure','Fantasy','Romance']","['Adult Cast','Historical']","[]"
37078,8.24,"['Action']","['Video Game']","[]"
37055,8.24,"['Action']","['Isekai','Military','Reincarnation']","[]"
43325,8.24,"['Mystery','Suspense']","['Historical','Psychological']","['Shounen']"
627,8.23,"['Comedy','Drama','Sports']","['Team Sports']","['Shounen']"
33051,8.23,"['Action','Drama','Sci-Fi']","['Mecha','Space']","[]"
23847,8.23,"['Comedy','Romance']","['Love Polygon','School']","[]"
37520,8.23,"['Action','Adventure','Supernatural']","['Historical','Mythology','Samurai']","['Shounen']"
42498,8.23,"['Action','Adventure','Fantasy','Romance']","['Historical','Martial Arts']","[]"
36371,8.23,"['Drama','Sci-Fi']","['Adult Cast','Military','Space']","[]"
37989,8.23,"['Action','Adventure']","['Historical']","['Seinen']"
265,8.23,"['Sports']","['Combat Sports']","['Shounen']"
18115,8.23,"['Action','Adventure','Fantasy']","[]","['Shounen']"
16894,8.23,"['Sports']","['School','Team Sports']","['Shounen']"
5460,8.22,"['Action','Mystery']","['Detective']","['Shounen']"
38680,8.22,"['Drama','Fantasy','Romance']","['Love Polygon']","['Shoujo']"
42886,8.22,"['Drama','Sci-Fi']","['Adult Cast','Military','Space']","[]"
1142,8.22,"['Drama','Romance','Slice of Life']","['Love Polygon','Visual Arts']","['Josei']"
15227,8.22,"['Drama']","['Historical']","['Seinen']"
11977,8.22,"['Drama','Suspense']","['Mahou Shoujo','Psychological']","[]"
585,8.22,"['Drama','Romance','Slice of Life']","[]","['Shoujo']"
33674,8.22,"['Drama','Fantasy','Romance']","['Isekai']","[]"
9863,8.22,"['Comedy']","['School']","['Shounen']"
40853,8.22,"['Comedy','Sci-Fi']","[]","['Kids','Seinen']"
6,8.22,"['Action','Adventure','Comedy','Drama','Sci-Fi']","['Adult Cast']","['Shounen']"
3091,8.22,"['Comedy','Drama','Mystery','Supernatural']","['Psychological']","['Seinen']"
512,8.21,"['Adventure','Comedy','Drama','Fantasy']","[]","[]"
558,8.21,"['Comedy','Drama','Sports']","['Team Sports']","['Shounen']"
3226,8.21,"['Comedy','Drama','Sports']","['Team Sports']","['Shounen']"
40729,8.21,"['Drama','Sci-Fi','Sports']","['Combat Sports']","[]"
35466,8.21,"['Romance','Slice of Life']","['School']","[]"
38249,8.21,"['Comedy','Supernatural']","['Gag Humor','School']","['Shounen']"
49114,8.21,"['Supernatural']","['Historical','Vampire']","['Shounen']"
38003,8.21,"['Action','Mystery','Supernatural']","['Super Power']","['Seinen']"
372,8.21,"['Comedy','Drama','Fantasy','Romance']","['Mahou Shoujo']","['Shoujo']"
42897,8.21,"['Romance']","['School']","['Shounen']"
45577,8.21,"['Drama']","['Idols (Male)','Music']","[]"
16664,8.21,"['Fantasy']","['Historical']","[]"
7674,8.2,"['Comedy','Drama','Romance']","['Otaku Culture']","['Shounen']"
12115,8.2,"['Action','Adventure','Drama','Fantasy','Horror','Supernatural']","['Gore','Military','Mythology']","['Seinen']"
32867,8.2,"['Action','Mystery','Supernatural']","['Super Power']","['Seinen']"
10800,8.2,"['Drama','Slice of Life','Sports']","['Love Polygon','School','Strategy Game']","['Josei']"
6811,8.2,"['Action','Adventure','Comedy','Fantasy','Romance','Supernatural']","['Historical','Mythology','Time Travel']","['Shounen']"
18195,8.2,"['Comedy','Drama','Romance','Slice of Life','Supernatural']","['School']","[]"
19123,8.2,"['Action','Adventure','Fantasy']","[]","['Shounen']"
38481,8.2,"['Action','Sci-Fi']","['Super Power']","[]"
6864,8.2,"['Mystery','Supernatural']","[]","['Seinen']"
1453,8.19,"['Comedy','Drama','Romance','Slice of Life']","['Adult Cast']","['Seinen']"
34537,8.2,"['Comedy','Romance']","[]","[]"
23623,8.19,"['Slice of Life']","['CGDCT','Iyashikei','School']","['Seinen']"
32843,8.19,"['Action','Sci-Fi']","['Idols (Female)','Music']","[]"
440,8.19,"['Comedy','Drama','Fantasy','Mystery']","['Mahou Shoujo','Psychological']","['Shoujo']"
35838,8.19,"['Adventure','Mystery','Sci-Fi','Slice of Life']","['Iyashikei']","[]"
2150,8.19,"['Adventure','Comedy','Fantasy','Slice of Life']","['Iyashikei']","['Kids']"
37171,8.19,"['Comedy']","['Gag Humor','School']","['Seinen']"
34636,8.19,"['Comedy','Drama','Romance','Sports']","['Performing Arts','School']","['Shounen']"
25537,8.19,"['Action','Fantasy','Supernatural']","[]","[]"
22297,8.19,"['Action','Fantasy','Supernatural']","[]","[]"
18617,8.19,"['Sports']","['Military','School']","[]"
39166,8.19,"[]","['Military','School']","[]"
1889,8.19,"['Mystery','Supernatural','Suspense']","['Gore','Psychological']","[]"
138,8.19,"['Action','Adventure','Fantasy']","[]","['Shounen']"
25681,8.19,"['Comedy','Fantasy','Romance','Supernatural']","['Mythology']","['Shoujo']"
